date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:17:35	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/facebook/btnPrevious.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/facebook/btnPrevious.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:35	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/facebook/contentPatternBottom.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/facebook/contentPatternBottom.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:36	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/facebook/default_thumbnail.gif	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/facebook/default_thumbnail.gif	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:36	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/light_rounded/loader.gif	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/light_rounded/loader.gif	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:36	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/fonts/glyphicons-halflings-regular.eot	(from https://bachittarjeet.github.io/css/stylesheet.css)
22:17:37	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/fonts/glyphicons-halflings-regulard41d.eot	(from https://bachittarjeet.github.io/css/stylesheet.css)
22:17:37	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/fonts/glyphicons-halflings-regular.woff	(from https://bachittarjeet.github.io/css/stylesheet.css)
22:17:38	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/fonts/glyphicons-halflings-regular.ttf	(from https://bachittarjeet.github.io/css/stylesheet.css)
22:17:38	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/fonts/glyphicons-halflings-regular.svg	(from https://bachittarjeet.github.io/css/stylesheet.css)
22:17:39	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/noise.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/noise.png	(from https://bachittarjeet.github.io/css/stylesheet.css)
22:17:39	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/clip.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/clip.png	(from https://bachittarjeet.github.io/css/stylesheet.css)
22:17:39	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/shadow.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/shadow.png	(from https://bachittarjeet.github.io/css/stylesheet.css)
22:17:40	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/page-loader.GIF	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/page-loader.GIF	(from https://bachittarjeet.github.io/css/stylesheet.css)
